Porifera    	Nematodes    	Arthropodes    	Platyhelminthes	Tardigrades    	Cnidaria    	Annelides    	Echinodermata	Chordata	Ctenophores				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
0	0	0	0	0	0	0	0	0	0				
